count,date
1,2016-01-05
1,2016-01-09
4,2016-01-11
1,2016-01-12
3,2016-01-13
2,2016-01-14
1,2016-01-15
1,2016-01-16
1,2016-01-17
3,2016-01-18
2,2016-01-19
4,2016-01-20
2,2016-01-21
7,2016-01-22
6,2016-01-23
3,2016-01-24
4,2016-01-25
5,2016-01-26
1,2016-01-27
2,2016-01-28
4,2016-01-29
1,2016-02-02
2,2016-02-04
1,2016-02-05
2,2016-02-12
3,2016-02-13
1,2016-02-15
1,2016-02-16
3,2016-02-17
4,2016-02-18
2,2016-02-19
1,2016-02-21
3,2016-02-22
2,2016-02-23
2,2016-02-24
5,2016-02-25
4,2016-02-26
2,2016-02-27
2,2016-02-28
4,2016-02-29
2,2016-03-01
7,2016-03-02
3,2016-03-03
4,2016-03-04
2,2016-03-05
3,2016-03-06
7,2016-03-09
2,2016-03-11
5,2016-03-12
1,2016-03-14
1,2016-03-15
5,2016-03-16
3,2016-03-18
5,2016-03-19
2,2016-03-20
2,2016-03-22
2,2016-03-23
1,2016-03-24
1,2016-03-29
3,2016-03-30
1,2016-03-31
3,2016-04-01
1,2016-04-02
8,2016-04-03
3,2016-04-04
1,2016-04-05
1,2016-04-06
1,2016-04-10
6,2016-04-12
1,2016-04-13
3,2016-04-14
2,2016-04-15
2,2016-04-16
2,2016-04-17
3,2016-04-19
4,2016-04-20
2,2016-04-21
1,2016-04-22
7,2016-04-23
3,2016-04-26
5,2016-04-27
1,2016-04-28
2,2016-04-29
1,2016-04-30
2,2016-05-01
2,2016-05-02
3,2016-05-03
1,2016-05-04
2,2016-05-06
5,2016-05-10
2,2016-05-11
2,2016-05-12
2,2016-05-15
1,2016-05-16
2,2016-05-18
2,2016-05-20
1,2016-05-21
1,2016-05-22
1,2016-05-23
2,2016-05-25
3,2016-05-26
3,2016-05-27
2,2016-05-28
1,2016-05-30
1,2016-05-31
1,2016-06-01
1,2016-06-02
2,2016-06-03
6,2016-06-08
4,2016-06-10
1,2016-06-11
1,2016-06-12
1,2016-06-14
1,2016-06-15
1,2016-06-16
1,2016-06-17
4,2016-06-18
3,2016-06-19
1,2016-06-27
1,2016-06-28
1,2016-06-29
1,2016-07-04
3,2016-07-07
1,2016-07-09
1,2016-07-11
2,2016-07-13
1,2016-07-14
1,2016-07-30
