hashtag_id;hashtag_content_x;cluster;autor;hashtag_content_y
129;PurpleHeartDay;0;HillaryClinton;PurpleHeartDay
251;EarthDay;0;HillaryClinton;EarthDay
195;CNN;0;realDonaldTrump;CNN
106;CaucusForTrump;0;realDonaldTrump;CaucusForTrump
285;FlashbackFriday;1;realDonaldTrump;FlashbackFriday
120;LaudatoSi;0;HillaryClinton;LaudatoSi
8;Decision2016;0;HillaryClinton;Decision2016
264;AlwaysTrump;0;realDonaldTrump;AlwaysTrump
305;WCS16;0;realDonaldTrump;WCS16
80;RNCINCLE;0;HillaryClinton;RNCINCLE
318;EndGunViolence;0;HillaryClinton;EndGunViolence
312;KansasCaucus;0;realDonaldTrump;KansasCaucus
179;WHCD;0;HillaryClinton;WHCD
209;polls;0;realDonaldTrump;polls
276;Elkhart;0;realDonaldTrump;Elkhart
110;WeTrumpHate;0;HillaryClinton;WeTrumpHate
175;EauClaire;0;realDonaldTrump;EauClaire
370;CommonLaw;0;realDonaldTrump;CommonLaw
99;NewHampshire;0;realDonaldTrump;NewHampshire
48;CAPrimary;0;HillaryClinton;CAPrimary
48;CAPrimary;0;realDonaldTrump;CAPrimary
28;NVcaucus;0;realDonaldTrump;NVcaucus
94;SecondAmendment;0;realDonaldTrump;SecondAmendment
313;LittleMarco;0;realDonaldTrump;LittleMarco
262;Jonas;0;realDonaldTrump;Jonas
362;StoptheHate;0;HillaryClinton;StoptheHate
204;AZPrimary;0;realDonaldTrump;AZPrimary
151;MeetTheTrumps;0;realDonaldTrump;MeetTheTrumps
384;Orlando;0;HillaryClinton;Orlando
162;SheWon;0;HillaryClinton;SheWon
30;WIBackHer;0;HillaryClinton;WIBackHer
253;Teachers4Trump;0;realDonaldTrump;Teachers4Trump
119;Benghazi;1;realDonaldTrump;Benghazi
399;WH;0;realDonaldTrump;WH
356;VoteTrump2016;0;realDonaldTrump;VoteTrump2016
299;TrumpPence16;0;realDonaldTrump;TrumpPence16
95;ugpride2016;0;HillaryClinton;ugpride2016
270;Utah4Trump;0;realDonaldTrump;Utah4Trump
122;HillaryOnCNN;0;HillaryClinton;HillaryOnCNN
62;VoteTrump;0;realDonaldTrump;VoteTrump
329;Iowa;0;realDonaldTrump;Iowa
268;taxplan;0;realDonaldTrump;taxplan
214;TeacherAppreciationDay;0;HillaryClinton;TeacherAppreciationDay
310;PrimaryDay;0;HillaryClinton;PrimaryDay
310;PrimaryDay;0;realDonaldTrump;PrimaryDay
180;DemPlatform;0;HillaryClinton;DemPlatform
397;fixdemocracyfirst;0;HillaryClinton;fixdemocracyfirst
390;OrlandoUnited;0;HillaryClinton;OrlandoUnited
127;VoteTrumpNH;0;realDonaldTrump;VoteTrumpNH
101;NevadaCaucus;0;realDonaldTrump;NevadaCaucus
339;FightForFamilies;0;HillaryClinton;FightForFamilies
20;DonaldTrump;0;realDonaldTrump;DonaldTrump
330;enough;0;HillaryClinton;enough
82;NewYork;0;realDonaldTrump;NewYork
25;veterans;0;HillaryClinton;veterans
359;USA;0;realDonaldTrump;USA
26;CrookedHillary;0;realDonaldTrump;CrookedHillary
