hashtag_content;hashtag_id;likes_total;likes_avg;retweets_total;retweets_avg;hashtag_count;first_oocurence;last_occurence
PurpleHeartDay;129;20909;20909.000000000000;7416;7416.0000000000000000;1;1470599586;1470599586
EarthDay;251;2834;2834.0000000000000000;1439;1439.0000000000000000;1;1461358738;1461358738
CNN;195;10608;10608.0000000000000000;3066;3066.0000000000000000;1;1458084414;1458084414
CaucusForTrump;106;61260;7657.5000000000000000;21879;2734.8750000000000000;8;1454118856;1457194770
FlashbackFriday;285;32212;32212.000000000000;16769;16769.0000000000000000;1;1472180331;1472180331
LaudatoSi;120;975;975.0000000000000000;381;381.0000000000000000;1;1466297725;1466297725
Decision2016;8;4893;4893.0000000000000000;1913;1913.0000000000000000;1;1465094488;1465094488
AlwaysTrump;264;32742;16371.000000000000;10146;5073.0000000000000000;2;1456656851;1471669377
WCS16;305;13527;13527.0000000000000000;4087;4087.0000000000000000;1;1467402424;1467402424
RNCINCLE;80;1749;1749.0000000000000000;1295;1295.0000000000000000;1;1469067249;1469067249
EndGunViolence;318;2913;2913.0000000000000000;844;844.0000000000000000;1;1466654000;1466654000
KansasCaucus;312;7255;7255.0000000000000000;1763;1763.0000000000000000;1;1457194826;1457194826
WHCD;179;7550;7550.0000000000000000;3054;3054.0000000000000000;1;1462128749;1462128749
polls;209;13376;13376.0000000000000000;5587;5587.0000000000000000;1;1474232825;1474232825
Elkhart;276;10283;10283.0000000000000000;3124;3124.0000000000000000;1;1465084175;1465084175
WeTrumpHate;110;2716;2716.0000000000000000;1092;1092.0000000000000000;1;1473903098;1473903098
EauClaire;175;14266;14266.0000000000000000;4767;4767.0000000000000000;1;1459641068;1459641068
CommonLaw;370;2351;2351.0000000000000000;801;801.0000000000000000;1;1453471247;1453471247
NewHampshire;99;6116;6116.0000000000000000;2602;2602.0000000000000000;1;1454694418;1454694418
CAPrimary;48;19771;9885.5000000000000000;6448;3224.0000000000000000;2;1464992452;1465303634
NVcaucus;28;9193;9193.0000000000000000;2106;2106.0000000000000000;1;1456278732;1456278732
SecondAmendment;94;12162;12162.0000000000000000;6718;6718.0000000000000000;1;1463758604;1463758604
LittleMarco;313;13353;13353.0000000000000000;4545;4545.0000000000000000;1;1457201390;1457201390
Jonas;262;2299;2299.0000000000000000;741;741.0000000000000000;1;1453745812;1453745812
StoptheHate;362;9087;4543.5000000000000000;5555;2777.5000000000000000;2;1467316330;1468335176
AZPrimary;204;32721;10907.0000000000000000;10742;3580.6666666666666667;3;1458443181;1458673447
MeetTheTrumps;151;13313;13313.0000000000000000;3058;3058.0000000000000000;1;1464301370;1464301370
Orlando;384;2311;2311.0000000000000000;1542;1542.0000000000000000;1;1468335176;1468335176
SheWon;162;72288;14457.600000000000;21180;4236.0000000000000000;5;1474979541;1474995262
WIBackHer;30;6959;6959.0000000000000000;1945;1945.0000000000000000;1;1465500207;1465500207
Teachers4Trump;253;9309;9309.0000000000000000;2561;2561.0000000000000000;1;1464844365;1464844365
Benghazi;119;56562;56562.000000000000;30921;30921.000000000000;1;1474944026;1474944026
WH;399;1826;1826.0000000000000000;683;683.0000000000000000;1;1452051956;1452051956
