tweet_id;autor;datum;retweets;likes
1;HillaryClinton;1475022154;218;651
2;HillaryClinton;1475019900;2445;5308
3;HillaryClinton;1475018800;7834;27234
4;HillaryClinton;1475017721;916;2542
5;HillaryClinton;1475015427;859;2882
6;realDonaldTrump;1475014404;2181;6172
7;HillaryClinton;1475012128;1303;2849
8;HillaryClinton;1475011531;1833;4954
9;realDonaldTrump;1475010502;4132;11239
10;HillaryClinton;1475010013;1087;2824
11;HillaryClinton;1475008667;3347;7698
12;realDonaldTrump;1475008274;2953;6963
13;realDonaldTrump;1475007273;3833;9840
14;realDonaldTrump;1475006785;4236;10948
15;HillaryClinton;1475006368;5379;8917
16;realDonaldTrump;1475006344;4878;14110
17;realDonaldTrump;1475005042;6939;23330
18;HillaryClinton;1475004661;2058;3714
19;HillaryClinton;1475001939;1792;3500
20;HillaryClinton;1474999926;1437;5053
21;HillaryClinton;1474999807;976;3313
22;HillaryClinton;1474999588;957;2968
23;HillaryClinton;1474999527;3336;9961
24;HillaryClinton;1474999374;1127;3216
25;HillaryClinton;1474999095;586;1681
26;HillaryClinton;1474998926;1580;2967
27;HillaryClinton;1474998767;557;1633
28;realDonaldTrump;1474998456;8534;28578
29;HillaryClinton;1474998247;556;1546
30;HillaryClinton;1474998005;661;1326
31;HillaryClinton;1474997708;1115;3941
32;HillaryClinton;1474996813;1328;2435
33;HillaryClinton;1474996042;6185;16805
34;realDonaldTrump;1474995538;4191;13152
35;HillaryClinton;1474995262;2593;6269
36;HillaryClinton;1474993770;1235;3206
37;HillaryClinton;1474993443;804;2086
38;HillaryClinton;1474992748;4829;7580
39;HillaryClinton;1474992229;20006;24333
40;HillaryClinton;1474991647;8242;35744
41;realDonaldTrump;1474991249;13576;27245
42;HillaryClinton;1474990968;1350;2874
43;HillaryClinton;1474990377;5557;16289
44;HillaryClinton;1474989977;1453;4741
45;HillaryClinton;1474989176;1452;4840
46;realDonaldTrump;1474988157;5365;10729
47;HillaryClinton;1474987981;4773;14979
48;realDonaldTrump;1474987885;7255;17380
49;realDonaldTrump;1474987749;12127;31856
50;HillaryClinton;1474984675;16476;22611
51;realDonaldTrump;1474984147;5827;14338
52;realDonaldTrump;1474982260;19561;52449
53;realDonaldTrump;1474982095;9598;29309
54;realDonaldTrump;1474980931;6704;15988
55;realDonaldTrump;1474980822;21628;59791
56;HillaryClinton;1474979541;4120;10456
57;HillaryClinton;1474977458;6253;17113
58;realDonaldTrump;1474973098;4437;16423
59;realDonaldTrump;1474957949;10829;24078
60;realDonaldTrump;1474955682;10763;24643
61;realDonaldTrump;1474955042;16167;34480
62;realDonaldTrump;1474954593;12479;27258
63;realDonaldTrump;1474953490;7709;24434
64;HillaryClinton;1474953416;10733;30012
65;realDonaldTrump;1474950849;12739;40321
66;HillaryClinton;1474949078;6505;21912
67;realDonaldTrump;1474948971;5578;14830
68;realDonaldTrump;1474948892;7350;22113
69;realDonaldTrump;1474948704;18519;39447
70;HillaryClinton;1474948359;3229;10833
71;HillaryClinton;1474947237;57182;74103
72;HillaryClinton;1474946302;2277;6913
73;HillaryClinton;1474946089;7576;20896
74;HillaryClinton;1474945951;4682;12991
75;HillaryClinton;1474945404;8546;22141
76;HillaryClinton;1474945076;8550;20188
77;HillaryClinton;1474944650;3134;12026
78;HillaryClinton;1474944344;80169;80678
79;HillaryClinton;1474944195;5065;16336
80;realDonaldTrump;1474944169;8575;19522
81;realDonaldTrump;1474944026;30921;56562
82;HillaryClinton;1474944004;26656;48875
83;HillaryClinton;1474943881;23394;36574
84;realDonaldTrump;1474943771;6680;15499
85;HillaryClinton;1474943721;20652;46042
86;realDonaldTrump;1474943639;6139;13209
87;HillaryClinton;1474943400;5011;13026
88;realDonaldTrump;1474943306;11851;26791
89;HillaryClinton;1474943243;17402;38775
90;HillaryClinton;1474943193;45008;82338
91;realDonaldTrump;1474943173;21745;40457
92;HillaryClinton;1474943161;5820;13113
93;HillaryClinton;1474943079;5646;10367
94;realDonaldTrump;1474942932;7419;12728
95;realDonaldTrump;1474942919;9001;20725
96;realDonaldTrump;1474942787;5763;12471
97;realDonaldTrump;1474942760;4741;10739
98;HillaryClinton;1474942689;7062;12598
99;HillaryClinton;1474942613;1387;2339
100;HillaryClinton;1474942437;2540;4893
101;HillaryClinton;1474942416;1213;1638
102;realDonaldTrump;1474942230;5055;8520
103;HillaryClinton;1474942109;6189;16416
104;HillaryClinton;1474942011;13915;26574
105;HillaryClinton;1474941918;1523;1946
106;HillaryClinton;1474941856;6274;13551
107;HillaryClinton;1474941719;51681;102655
108;HillaryClinton;1474941665;6818;17734
109;HillaryClinton;1474941574;4564;7201
110;HillaryClinton;1474941373;7324;13832
111;HillaryClinton;1474941311;10882;21951
112;HillaryClinton;1474941278;2587;6006
113;HillaryClinton;1474941122;1259;2676
114;realDonaldTrump;1474941118;12173;33572
115;HillaryClinton;1474941042;6923;17156
116;realDonaldTrump;1474941001;4550;11239
117;HillaryClinton;1474940691;4435;8347
118;realDonaldTrump;1474940641;1936;5930
119;HillaryClinton;1474940450;2469;5868
120;HillaryClinton;1474940354;20195;33668
121;HillaryClinton;1474940246;8568;15157
122;realDonaldTrump;1474940210;13308;32127
123;HillaryClinton;1474940072;11973;15567
124;realDonaldTrump;1474940039;11774;21663
125;realDonaldTrump;1474939945;7878;16568
126;realDonaldTrump;1474939730;9707;22634
127;realDonaldTrump;1474939684;7189;19174
128;HillaryClinton;1474939683;4128;5914
129;HillaryClinton;1474939633;5904;8292
130;realDonaldTrump;1474939423;5045;13196
131;HillaryClinton;1474939284;2751;6025
132;HillaryClinton;1474939187;91670;134808
133;HillaryClinton;1474939142;12980;20267
134;realDonaldTrump;1474939135;7836;17385
135;HillaryClinton;1474939064;3322;6308
136;HillaryClinton;1474938975;1738;2478
137;HillaryClinton;1474938920;3721;5734
138;realDonaldTrump;1474938849;3928;8756
139;HillaryClinton;1474938825;2537;9180
140;HillaryClinton;1474938793;1656;1563
141;HillaryClinton;1474938702;3732;7138
142;HillaryClinton;1474938636;2745;6299
143;HillaryClinton;1474938303;804;2137
144;HillaryClinton;1474937475;24233;78491
145;realDonaldTrump;1474937225;16770;31043
146;HillaryClinton;1474936270;1293;4038
147;HillaryClinton;1474934350;6014;11459
148;HillaryClinton;1474932861;1231;3435
149;realDonaldTrump;1474932640;3532;8312
150;HillaryClinton;1474930421;5463;12162
151;realDonaldTrump;1474929113;19836;57971
152;HillaryClinton;1474927539;1505;1763
153;HillaryClinton;1474927156;1747;2989
154;HillaryClinton;1474921805;5088;9479
155;HillaryClinton;1474919612;10152;18575
156;HillaryClinton;1474917171;1607;3601
157;HillaryClinton;1474914094;1218;2365
158;HillaryClinton;1474913076;3653;6195
159;HillaryClinton;1474911505;2070;3514
160;HillaryClinton;1474907813;2967;6929
161;realDonaldTrump;1474907371;7925;18329
162;HillaryClinton;1474906244;4144;8868
163;HillaryClinton;1474904407;2638;5098
164;HillaryClinton;1474903298;2967;7022
165;HillaryClinton;1474900325;7164;14549
166;HillaryClinton;1474895569;5330;9552
167;HillaryClinton;1474893602;6678;11110
168;HillaryClinton;1474891523;28185;29457
169;realDonaldTrump;1474891368;11472;28638
170;HillaryClinton;1474852515;3467;8058
171;realDonaldTrump;1474852420;17061;60847
172;HillaryClinton;1474851028;2619;9128
173;realDonaldTrump;1474849120;11289;29909
174;HillaryClinton;1474841954;6422;18298
175;HillaryClinton;1474841502;3904;8583
176;HillaryClinton;1474837880;10237;16475
177;HillaryClinton;1474837097;4288;5959
178;HillaryClinton;1474836291;7563;12670
179;HillaryClinton;1474833358;2735;6706
180;HillaryClinton;1474830724;3927;8328
181;realDonaldTrump;1474827311;11555;30493
182;HillaryClinton;1474826978;1563;3129
183;HillaryClinton;1474824044;1516;2897
184;HillaryClinton;1474822520;2620;4385
185;HillaryClinton;1474820879;3281;8593
186;HillaryClinton;1474816786;7952;14148
187;HillaryClinton;1474812688;1765;5867
188;realDonaldTrump;1474809656;8533;31212
189;HillaryClinton;1474808767;3246;7907
190;realDonaldTrump;1474808686;8490;26708
191;realDonaldTrump;1474806628;8572;28770
192;HillaryClinton;1474760962;3487;11181
193;realDonaldTrump;1474760342;6424;20699
194;HillaryClinton;1474757892;2314;5977
195;HillaryClinton;1474754159;4796;11582
196;HillaryClinton;1474751147;3063;7546
197;HillaryClinton;1474746085;3454;8113
198;HillaryClinton;1474743341;4003;9250
199;HillaryClinton;1474738117;5254;7252
200;realDonaldTrump;1474736897;31655;67133
201;HillaryClinton;1474733387;4585;8232
202;HillaryClinton;1474730709;3907;8181
203;realDonaldTrump;1474726237;4765;16323
204;realDonaldTrump;1474721032;10001;24962
205;realDonaldTrump;1474720502;12658;43068
206;realDonaldTrump;1474715192;7006;19238
207;realDonaldTrump;1474682996;9338;28604
208;HillaryClinton;1474682899;3025;7505
209;HillaryClinton;1474678693;1464;2652
210;HillaryClinton;1474676030;14240;24144
211;HillaryClinton;1474673789;5251;8284
212;HillaryClinton;1474671740;1415;4139
213;HillaryClinton;1474671092;10548;19228
214;HillaryClinton;1474669381;4617;6886
215;HillaryClinton;1474665265;3141;5148
216;HillaryClinton;1474664287;3011;7104
217;realDonaldTrump;1474661629;4525;13490
218;HillaryClinton;1474660725;8721;7853
219;HillaryClinton;1474658218;2116;5353
220;realDonaldTrump;1474651940;7058;16194
221;realDonaldTrump;1474651616;19788;40480
222;HillaryClinton;1474649364;2289;5976
223;realDonaldTrump;1474646267;6200;16518
224;realDonaldTrump;1474646155;6331;12874
225;HillaryClinton;1474642986;1165;2521
226;HillaryClinton;1474639384;15681;24865
227;HillaryClinton;1474637300;4876;7833
228;HillaryClinton;1474631869;25177;36223
229;HillaryClinton;1474599542;3712;7486
230;HillaryClinton;1474597636;1974;7091
231;realDonaldTrump;1474596553;8307;27919
232;realDonaldTrump;1474593470;6208;18880
233;HillaryClinton;1474588498;14482;37211
234;HillaryClinton;1474585459;2288;5812
235;HillaryClinton;1474578943;2651;4329
236;HillaryClinton;1474576957;2135;5209
237;HillaryClinton;1474576207;7764;10957
238;HillaryClinton;1474572280;4084;8048
239;HillaryClinton;1474566997;5362;11359
240;HillaryClinton;1474564686;909;2629
241;HillaryClinton;1474559607;7115;12523
242;HillaryClinton;1474557466;452;1293
243;realDonaldTrump;1474555545;4450;13782
244;HillaryClinton;1474553012;28387;45833
245;realDonaldTrump;1474542121;2285;12885
246;HillaryClinton;1474508896;3652;7127
247;HillaryClinton;1474507082;1572;3188
248;HillaryClinton;1474506032;2042;4615
249;realDonaldTrump;1474505883;3927;14775
250;realDonaldTrump;1474505666;4586;16046
251;realDonaldTrump;1474505364;3241;13612
252;HillaryClinton;1474504677;10154;16287
253;HillaryClinton;1474502872;1504;3724
254;HillaryClinton;1474499115;1517;4639
255;realDonaldTrump;1474497319;10434;27350
256;HillaryClinton;1474494710;3513;7108
257;HillaryClinton;1474492783;3404;4540
258;realDonaldTrump;1474491776;8867;28193
259;HillaryClinton;1474487388;1828;4315
260;HillaryClinton;1474485166;1261;2603
261;HillaryClinton;1474485048;752;2059
262;HillaryClinton;1474484947;900;1914
263;HillaryClinton;1474484670;687;1492
264;HillaryClinton;1474484604;696;1379
265;HillaryClinton;1474484465;478;1444
266;HillaryClinton;1474484395;869;1852
267;HillaryClinton;1474484294;1075;2031
268;HillaryClinton;1474484158;501;1468
269;HillaryClinton;1474483927;1517;2648
270;HillaryClinton;1474483807;636;1368
271;HillaryClinton;1474483744;639;1346
272;HillaryClinton;1474483637;718;1514
273;HillaryClinton;1474483520;697;1429
274;HillaryClinton;1474483441;463;1131
275;HillaryClinton;1474483363;948;1827
276;HillaryClinton;1474483291;1279;3461
277;realDonaldTrump;1474480911;6947;15799
278;HillaryClinton;1474478203;2291;5269
279;HillaryClinton;1474468866;6170;13075
280;realDonaldTrump;1474464193;13402;39218
281;realDonaldTrump;1474464015;9644;28498
282;realDonaldTrump;1474456663;16408;41498
283;HillaryClinton;1474427474;1773;3809
284;HillaryClinton;1474425514;3824;6359
285;HillaryClinton;1474423558;4765;7113
286;HillaryClinton;1474419750;3490;9754
287;HillaryClinton;1474417074;2785;8993
288;realDonaldTrump;1474416471;8131;24864
289;HillaryClinton;1474409016;5468;10208
290;HillaryClinton;1474405604;731;1767
291;realDonaldTrump;1474403588;9574;28469
292;HillaryClinton;1474403439;3196;9289
293;HillaryClinton;1474401913;4161;6062
294;HillaryClinton;1474399327;1256;3240
295;HillaryClinton;1474394266;10825;8957
296;HillaryClinton;1474392909;12204;24955
297;HillaryClinton;1474389610;4074;5684
298;HillaryClinton;1474385287;4292;5681
299;HillaryClinton;1474384709;2448;4935
300;realDonaldTrump;1474381439;31049;76291
301;realDonaldTrump;1474381322;6508;24283
302;realDonaldTrump;1474381250;12389;40362
303;HillaryClinton;1474380200;6195;13976
304;realDonaldTrump;1474379456;5987;17783
305;realDonaldTrump;1474379390;5816;17255
306;realDonaldTrump;1474372955;9376;28160
307;HillaryClinton;1474339768;1911;3464
308;HillaryClinton;1474337147;1681;6207
309;HillaryClinton;1474333446;5965;11729
310;realDonaldTrump;1474331210;8269;22873
311;realDonaldTrump;1474330740;10580;28035
312;realDonaldTrump;1474330496;2820;13558
313;HillaryClinton;1474330181;3251;9288
314;HillaryClinton;1474326527;1845;4122
315;HillaryClinton;1474324234;3562;9311
316;HillaryClinton;1474320090;1688;4377
317;HillaryClinton;1474316532;2670;5169
318;realDonaldTrump;1474314720;8020;17657
319;HillaryClinton;1474313423;5661;15689
320;HillaryClinton;1474311811;1625;4275
321;HillaryClinton;1474309464;1006;2007
322;HillaryClinton;1474305065;1658;4625
323;HillaryClinton;1474304471;783;1958
324;HillaryClinton;1474304209;841;1446
325;realDonaldTrump;1474304022;10464;25524
326;HillaryClinton;1474304015;2419;5552
327;HillaryClinton;1474303961;1364;2625
328;HillaryClinton;1474303912;616;1514
329;HillaryClinton;1474303758;821;1558
330;HillaryClinton;1474303501;801;1835
331;HillaryClinton;1474303360;840;1910
332;HillaryClinton;1474303288;725;1754
333;HillaryClinton;1474303151;961;2102
334;HillaryClinton;1474303036;525;1152
335;HillaryClinton;1474302981;556;1231
336;HillaryClinton;1474302953;571;1197
337;HillaryClinton;1474302913;693;1387
338;HillaryClinton;1474302859;746;1498
339;realDonaldTrump;1474302752;16413;49182
340;HillaryClinton;1474302709;1384;2348
341;HillaryClinton;1474302625;571;1284
342;HillaryClinton;1474302509;874;3226
343;HillaryClinton;1474301535;4758;12037
344;HillaryClinton;1474299852;1596;4056
345;HillaryClinton;1474298171;786;1898
346;HillaryClinton;1474296196;2803;7439
347;HillaryClinton;1474295129;590;1615
348;HillaryClinton;1474294889;984;2843
349;HillaryClinton;1474294515;1221;2645
350;HillaryClinton;1474294398;1739;6703
351;HillaryClinton;1474293271;4478;3625
352;HillaryClinton;1474290919;1446;2507
353;realDonaldTrump;1474288048;7735;18554
354;realDonaldTrump;1474287299;4585;15258
355;realDonaldTrump;1474282950;2153;11463
356;HillaryClinton;1474253648;7718;16135
357;realDonaldTrump;1474252323;12651;40764
358;realDonaldTrump;1474252234;19662;49063
359;HillaryClinton;1474250726;1575;4785
360;HillaryClinton;1474246837;15087;50882
361;HillaryClinton;1474244691;13167;25139
362;HillaryClinton;1474241285;1226;4224
363;HillaryClinton;1474239456;2642;7182
364;HillaryClinton;1474238032;1449;2725
365;HillaryClinton;1474236433;4127;6434
366;HillaryClinton;1474233625;2804;7537
367;realDonaldTrump;1474233108;11885;34279
368;realDonaldTrump;1474232825;5587;13376
369;HillaryClinton;1474232438;6443;10886
370;HillaryClinton;1474230467;2731;4336
371;HillaryClinton;1474224216;4515;9680
372;HillaryClinton;1474222935;3504;7256
373;HillaryClinton;1474217886;6413;11141
374;HillaryClinton;1474215089;2254;5721
375;HillaryClinton;1474210635;3123;5449
376;realDonaldTrump;1474204016;16269;53317
377;HillaryClinton;1474203987;1979;4692
378;HillaryClinton;1474161596;1460;4157
379;HillaryClinton;1474161518;2026;5121
380;HillaryClinton;1474161382;1225;3266
381;HillaryClinton;1474161101;686;2276
382;HillaryClinton;1474158135;5091;13118
383;HillaryClinton;1474156411;2335;7156
384;realDonaldTrump;1474154098;5801;20616
385;HillaryClinton;1474153770;2926;4794
386;realDonaldTrump;1474153427;5740;23202
387;realDonaldTrump;1474153029;7997;27792
388;HillaryClinton;1474152048;1636;4340
389;realDonaldTrump;1474148330;10124;31796
390;HillaryClinton;1474146772;2384;5635
391;HillaryClinton;1474141796;5993;10676
392;HillaryClinton;1474139661;2216;4195
393;HillaryClinton;1474137525;1411;3836
394;realDonaldTrump;1474133366;5504;18734
395;realDonaldTrump;1474133323;6164;20873
396;HillaryClinton;1474132873;5019;11284
397;HillaryClinton;1474128585;5317;12569
398;HillaryClinton;1474125355;4205;9109
399;HillaryClinton;1474120544;4541;7331
400;realDonaldTrump;1474118023;13052;40399
401;HillaryClinton;1474115944;4734;9240
402;realDonaldTrump;1474113101;7438;24418
403;realDonaldTrump;1474091589;14572;40447
404;realDonaldTrump;1474089344;7094;19821
405;realDonaldTrump;1474087394;5221;14480
406;realDonaldTrump;1474085753;8562;27178
407;realDonaldTrump;1474074798;5775;22866
408;HillaryClinton;1474073644;2638;13665
409;HillaryClinton;1474070181;7874;15940
410;HillaryClinton;1474067139;3784;6186
411;HillaryClinton;1474064235;3270;6903
412;HillaryClinton;1474062027;6336;10953
413;realDonaldTrump;1474059687;10125;29487
414;HillaryClinton;1474058324;5337;12368
415;HillaryClinton;1474054064;2212;6141
416;HillaryClinton;1474053898;2590;6835
417;HillaryClinton;1474053838;1203;2893
418;HillaryClinton;1474053774;1183;2446
419;HillaryClinton;1474053649;1114;3202
420;HillaryClinton;1474053587;1139;2326
421;HillaryClinton;1474053468;1774;5219
422;HillaryClinton;1474053387;1273;3912
423;HillaryClinton;1474053231;1950;5369
424;HillaryClinton;1474053120;1360;4702
